title,song,date,program,description,videoUrl,image,order,videoLabel,score
Blue Valentine - Music Bank,Blue Valentine,2025-10-24,Music Bank,"「Blue Valentine」でMusic Bankの1位を獲得（11,908点）。",https://www.youtube.com/watch?v=rKg9I4mVLVc,assets/discography/bluevalentine.jpg,14,アンコール・受賞映像を見る,11908
Blue Valentine - Show! Music Core,Blue Valentine,2025-10-25,Show! Music Core,"「Blue Valentine」でShow! Music Coreの1位を獲得（8,377点）。",https://www.youtube.com/watch?v=rKg9I4mVLVc,assets/discography/bluevalentine.jpg,15,アンコール・受賞映像を見る,8377
Blue Valentine - Inkigayo,Blue Valentine,2025-10-26,Inkigayo,"「Blue Valentine」でInkigayoの1位を獲得（5,454点）。",https://www.youtube.com/watch?v=rKg9I4mVLVc,assets/discography/bluevalentine.jpg,16,アンコール・受賞映像を見る,5454
Blue Valentine - Inkigayo,Blue Valentine,2025-11-09,Inkigayo,"「Blue Valentine」でInkigayoの1位を獲得（4,845点）。",https://www.youtube.com/watch?v=rKg9I4mVLVc,assets/discography/bluevalentine.jpg,17,アンコール・受賞映像を見る,4845
Blue Valentine - Show! Music Core,Blue Valentine,2025-11-15,Show! Music Core,"「Blue Valentine」でShow! Music Coreの1位を獲得（6,805点）。",https://www.youtube.com/watch?v=rKg9I4mVLVc,assets/discography/bluevalentine.jpg,18,アンコール・受賞映像を見る,6805
Blue Valentine - Inkigayo,Blue Valentine,2025-11-16,Inkigayo,"「Blue Valentine」でInkigayoの1位を獲得（5,044点）。",https://www.youtube.com/watch?v=rKg9I4mVLVc,assets/discography/bluevalentine.jpg,19,アンコール・受賞映像を見る,5044
Blue Valentine - Show! Music Core,Blue Valentine,2025-11-22,Show! Music Core,"「Blue Valentine」でShow! Music Coreの1位を獲得（6,143点）。",https://www.youtube.com/watch?v=rKg9I4mVLVc,assets/discography/bluevalentine.jpg,20,アンコール・受賞映像を見る,6143
Blue Valentine - Music Bank,Blue Valentine,2026-01-02,Music Bank,"「Blue Valentine」でMusic Bankの1位を獲得（3,918点）。",https://www.youtube.com/watch?v=rKg9I4mVLVc,assets/discography/bluevalentine.jpg,21,アンコール・受賞映像を見る,3918
Heavy Serenade - M COUNTDOWN,Heavy Serenade,2026-05-21,M COUNTDOWN,"「Heavy Serenade」でM COUNTDOWNの1位を獲得。カムバック後初の1位（8,167点）。",https://www.soompi.com/article/1842919wpp/watch-nmixx-takes-1st-win-for-heavy-serenade-on-m-countdown-performances-by-i-o-i-taeyang-and-more,assets/discography/heavy-serenade.jpg,22,受賞・アンコール記事を見る,8167
Heavy Serenade - Music Bank,Heavy Serenade,2026-05-22,Music Bank,"「Heavy Serenade」でMusic Bankの1位を獲得。楽曲2冠目（9,582点）。",https://www.soompi.com/article/1843103wpp/watch-nmixx-takes-2nd-win-for-heavy-serenade-on-music-bank-performances-by-le-sserafim-zerobaseone-and-more,assets/discography/heavy-serenade.jpg,23,受賞・アンコール記事を見る,9582
